student_id,student_country,date_registered
258798,IN,01-01-2022
258799,CO,01-01-2022
258800,CA,01-01-2022
258801,IN,01-01-2022
258802,US,01-01-2022
258803,US,01-01-2022
258804,BD,01-01-2022
258805,BD,01-01-2022
258806,NG,01-01-2022
258807,US,01-01-2022
258808,SA,01-01-2022
258809,ID,01-01-2022
258810,IN,01-01-2022
258811,DZ,01-01-2022
258812,IN,01-01-2022
258813,ET,01-01-2022
258814,IN,01-01-2022
258815,EG,01-01-2022
258816,KE,01-01-2022
258817,IN,01-01-2022
258818,IN,01-01-2022
258819,ES,01-01-2022
258820,IN,01-01-2022
258822,IN,01-01-2022
258823,BD,01-01-2022
258824,US,01-01-2022
258825,IN,01-01-2022
258826,CN,01-01-2022
258827,IN,01-01-2022
258828,IN,01-01-2022
258829,BR,01-01-2022
258830,BY,01-01-2022
258831,SG,01-01-2022
258832,IN,01-01-2022
258833,IN,01-01-2022
258834,GB,01-01-2022
258835,CM,01-01-2022
258836,PK,01-01-2022
258837,ID,01-01-2022
258838,PK,01-01-2022
258839,EG,01-01-2022
258840,SA,01-01-2022
258841,JP,01-01-2022
258842,PK,01-01-2022
258843,US,01-01-2022
258844,EG,01-01-2022
258845,ID,01-01-2022
258846,US,01-01-2022
258847,IN,01-01-2022
258848,RU,01-01-2022
258849,IN,01-01-2022
258850,CA,01-01-2022
258851,HT,01-01-2022
258852,SA,01-01-2022
258853,US,01-01-2022
258854,NG,01-01-2022
258855,GB,01-01-2022
258857,AZ,01-01-2022
258858,MA,01-01-2022
258859,SA,01-01-2022
258860,PL,01-01-2022
258861,IN,01-01-2022
258862,NL,01-01-2022
258864,DE,01-01-2022
258865,CA,01-01-2022
258866,IN,01-01-2022
258867,TN,01-01-2022
258868,DZ,01-01-2022
258869,VN,01-01-2022
258870,GB,01-01-2022
258871,CA,01-01-2022
258872,CO,01-01-2022
258873,EG,01-01-2022
258874,PT,01-01-2022
258875,SA,01-01-2022
258876,FR,01-01-2022
258877,EG,01-01-2022
258878,CA,01-01-2022
258879,LY,01-01-2022
258880,RU,01-01-2022
258881,EG,01-01-2022
258882,US,01-01-2022
258883,US,01-01-2022
258884,EG,01-01-2022
258885,MD,01-01-2022
258886,SA,01-01-2022
258887,SA,01-01-2022
258888,GB,01-01-2022
258889,SA,01-01-2022
258890,RU,01-01-2022
258891,EG,01-01-2022
258892,MX,01-01-2022
258893,AE,01-01-2022
258894,US,01-01-2022
258895,EG,01-01-2022
258896,BR,01-01-2022
258897,AR,01-01-2022
258898,IN,01-01-2022
258899,SA,01-01-2022
258900,IN,01-01-2022
258901,SA,01-01-2022
258902,NG,01-01-2022
258903,US,01-01-2022
258904,SA,01-01-2022
258905,NG,01-01-2022
258906,EG,01-01-2022
258907,EG,01-01-2022
258908,US,01-01-2022
258909,US,01-01-2022
258910,EG,02-01-2022
258911,SA,02-01-2022
258912,IN,02-01-2022
258913,US,02-01-2022
258914,LK,02-01-2022
258915,SA,02-01-2022
258916,CA,02-01-2022
258917,US,02-01-2022
258919,DE,02-01-2022
258920,PH,02-01-2022
258921,SA,02-01-2022
258922,US,02-01-2022
258924,EG,02-01-2022
258925,ID,02-01-2022
258926,SA,02-01-2022
258927,IN,02-01-2022
258928,SA,02-01-2022
258929,US,02-01-2022
258930,SA,02-01-2022
258931,SA,02-01-2022
258932,SA,02-01-2022
258933,US,02-01-2022
