minutes_watched,days_engage,eng_quiz,eng_exam,eng_hub_qa,st_purch
0.3,1,0,0,0,0
531.2,29,1,1,0,1
620.0,19,1,1,1,1
14.2,1,1,0,0,0
1.8,1,0,0,0,0
53.3,3,1,0,0,0
3.2,1,0,0,0,0
41.9,4,1,0,0,0
2.2,1,0,0,0,0
2.1,1,0,0,0,0
8.8,2,0,0,0,0
29.0,1,0,1,0,0
0.8,1,0,0,0,0
0.4,1,0,0,0,0
1392.5,77,1,1,1,1
6.6,1,1,0,0,0
382.7,15,1,1,1,1
1.3,1,0,0,0,0
0.3,1,0,0,0,0
0.3,1,0,0,0,0
0.4,1,0,0,0,0
12.5,1,0,0,0,0
0.9,1,0,0,0,0
0.1,1,0,0,0,0
298.7,12,1,1,0,1
1.3,1,0,0,0,0
21.9,1,1,0,0,0
35.7,3,1,0,0,0
42.1,2,1,0,0,0
0.6000000000000001,2,0,0,0,0
1556.2,23,1,1,0,0
6.9,1,0,0,0,0
0.1,1,0,0,0,0
12.0,1,1,0,0,0
6.6,1,1,0,0,0
0.1,1,0,0,0,0
0.2,1,0,0,0,0
0.8,1,1,0,0,0
12.2,1,1,0,0,0
21.6,2,1,0,0,0
639.5,21,1,1,0,1
318.5,14,1,1,0,1
1.2,1,0,0,0,0
4.7,3,0,0,0,0
2.2,1,0,0,0,0
63.8,1,1,1,0,0
73.6,5,1,0,0,0
133.7,2,1,1,0,1
1.2,1,0,0,0,0
73.2,3,1,0,0,0
1.9,1,1,0,0,0
0.5,1,0,0,0,0
30.0,3,1,1,0,1
0.3,1,0,0,0,0
61.7,2,1,1,0,0
0.1,1,0,0,0,0
0.7,1,0,0,0,0
1.2,1,0,0,0,0
11.2,3,0,0,0,0
25.3,1,1,0,0,0
62.0,1,1,0,0,0
11.2,1,1,0,0,0
0.1,1,0,0,0,0
18.9,2,1,0,0,0
9.3,1,1,0,0,0
219.0,6,1,0,0,0
3.6,1,0,0,0,0
250.4,9,1,1,0,0
12.3,1,1,0,0,0
558.8,10,1,1,0,1
6.6,1,1,0,0,0
15.5,3,1,0,0,0
1463.3,41,1,1,0,1
2.8,1,0,0,0,0
40.6,3,1,0,0,0
406.5,9,1,1,0,1
6.6,1,1,0,0,0
65.3,1,1,0,0,0
220.9,15,1,1,0,1
363.5,9,1,0,0,0
6.7,1,0,0,0,0
5.699999999999999,2,0,0,0,0
43.8,2,1,1,0,0
190.6,13,1,1,0,1
5.8,2,0,0,0,0
25.5,2,0,0,0,0
10.8,1,0,0,0,0
11.1,2,0,0,0,0
0.1,1,0,0,0,0
90.6,7,1,1,0,0
3.4,1,0,0,0,0
460.2,13,1,1,0,1
716.9,17,1,1,0,1
3.6,1,0,0,0,0
0.1,1,0,0,0,0
3.4,1,0,0,0,0
0.1,1,0,0,0,0
1.5,1,0,0,0,0
2.8,1,0,0,0,0
5.2,1,0,0,0,0
33.9,1,1,0,0,0
336.2,20,1,1,0,1
20.3,1,0,0,0,0
20.9,1,1,0,0,0
1.5,2,0,0,0,0
338.7,11,1,1,0,1
0.1,1,0,0,0,0
434.7000000000001,19,1,1,0,1
0.3,1,0,0,0,0
0.3,1,0,0,0,0
5.6,1,0,0,0,0
0.3,1,0,0,0,0
95.1,3,1,0,0,0
39.2,3,1,0,0,0
8.4,1,1,0,0,0
0.3,1,0,0,0,0
0.5,1,0,0,0,0
57.3,3,1,0,0,0
7.9,2,0,0,0,0
52.3,3,1,0,0,0
2.6,4,0,0,0,0
1.1,1,0,0,0,0
1937.3,51,1,1,0,0
61.8,3,0,1,0,0
2.4,1,0,0,0,0
149.5,6,1,0,0,0
1.1,1,0,0,0,0
0.7,1,0,0,0,0
220.2,13,1,1,0,0
5.8,1,1,0,0,0
1.2,1,0,0,0,0
27.0,2,1,0,0,0
2.3,1,1,0,0,0
586.4,29,1,1,0,1
178.79999999999998,7,1,0,0,1
10.4,1,1,0,0,0
30.7,1,0,0,0,0
3.3,1,0,0,0,0
34.3,4,1,0,0,0
1.1,1,0,0,0,0
6.5,1,0,0,0,0
402.2,14,1,1,0,1
0.1,1,0,0,0,0
0.2,1,0,0,0,0
194.6,5,1,1,0,0
11.0,2,1,1,0,0
2.2,1,0,0,0,0
141.2,1,0,1,0,0
27.2,2,1,0,0,0
0.6,1,0,0,0,0
0.4,1,0,0,0,0
69.5,5,1,0,0,1
2.0,1,0,0,0,0
0.5,1,0,0,0,0
8.4,1,1,0,0,0
1.2,1,0,0,0,0
4.3,1,0,0,0,0
30.2,3,1,0,0,0
9.5,1,1,0,0,0
4.7,1,0,0,0,0
0.4,1,0,0,0,0
59.8,1,1,1,0,0
46.6,2,1,0,0,0
1.0,1,1,0,0,0
715.1,19,1,0,0,1
53.6,2,1,0,0,0
1.8,1,0,0,0,0
10.2,1,0,0,0,0
0.9,1,0,0,0,0
0.2,1,0,0,0,0
156.4,3,1,1,0,0
17.0,2,0,0,0,0
0.9,1,0,0,0,0
5.3,1,0,0,0,0
86.5,5,1,1,0,0
10.0,1,1,0,0,0
99.1,2,0,1,0,0
0.1,1,0,0,0,0
12.2,1,1,0,0,0
20.1,2,1,0,0,0
1.1,1,0,0,0,0
1.9,2,0,0,0,0
0.2,1,0,0,0,0
13.7,1,0,0,0,0
0.7,1,0,0,0,0
128.0,7,1,1,0,0
2862.2,75,1,1,0,1
28.1,4,1,0,0,0
68.6,3,1,1,0,0
0.4,1,1,0,0,0
2.0,1,0,0,0,0
0.7,1,0,0,0,0
37.9,1,1,0,0,0
98.1,4,1,1,0,0
60.0,2,1,1,0,0
66.0,3,1,0,0,0
5.6,1,1,0,0,0
4.9,1,0,0,0,0
2.1,1,0,0,0,0
5.9,3,0,0,0,0
2.4,1,0,0,0,0
13.6,1,1,0,0,0
6.0,1,0,0,0,0
12.6,1,0,0,0,0
24.200000000000003,2,1,0,0,0
3.0,1,0,0,0,0
0.3,1,0,0,0,0
3.3,1,0,0,0,0
38.2,1,1,0,0,0
0.2,1,0,0,0,0
10.7,2,1,0,0,0
377.9,7,1,1,0,0
2.4,1,0,0,0,0
0.5,1,0,0,0,0
1.0,1,0,1,0,0
0.7,1,0,0,0,0
0.2,1,0,0,0,0
0.0,1,1,0,0,0
10.5,2,1,0,0,0
1.2,1,0,0,0,0
317.7,7,1,1,0,1
7.4,1,1,0,0,0
5022.6,98,1,1,1,1
44.4,3,1,1,0,0
50.1,4,0,0,0,0
0.1,1,0,0,0,0
18.3,2,1,0,0,0
0.1,1,0,0,0,0
9.5,2,1,0,0,0
4.3,1,1,0,0,0
12.6,2,1,0,0,1
1.0,1,0,0,0,0
0.4,1,0,0,0,0
32.2,1,1,0,0,0
3.2,1,0,0,0,0
52.5,7,0,0,0,0
19.4,1,1,0,0,0
2.0,1,0,0,0,0
15.7,2,1,0,0,0
0.3,1,0,0,0,0
9.8,2,1,0,0,0
1.0,2,0,0,0,0
245.3,6,1,1,0,1
43.6,2,1,0,0,0
44.9,4,1,0,0,0
1.4,1,0,0,0,0
0.2,1,0,1,0,0
8.2,1,1,0,0,0
0.1,1,0,0,0,0
0.7,1,0,0,0,0
0.6,1,0,0,0,0
6.3,2,0,1,0,0
2.7,4,0,0,0,0
0.1,1,0,0,0,0
34.7,1,0,1,0,0
68.8,1,1,1,0,0
51.3,2,1,1,0,0
2.6,2,0,0,0,0
9.2,1,1,0,0,0
110.0,1,1,0,0,0
30.9,1,1,0,0,0
75.2,3,0,1,0,0
6.5,1,0,0,0,0
43.4,4,1,0,0,0
0.0,1,0,1,0,0
1400.4,44,1,1,0,1
95.1,5,1,1,0,1
16.6,2,1,0,0,0
993.1,43,1,1,1,1
64.5,2,1,1,0,0
10.8,1,0,1,0,0
11.5,1,1,0,0,0
1393.7,20,1,1,0,1
24.1,2,1,0,0,0
13.1,2,1,1,0,0
27.7,2,1,0,0,1
0.6,1,0,0,0,0
0.5,1,0,0,0,0
19.2,1,0,1,0,0
22.5,2,1,0,0,0
